"SRX020102" "SRX020103" "SRX020104" "SRX020105" "SRX020091-3" "SRX020088-90" "SRX020094-7" "SRX020098-101"
"ENSRNOG00000000001" 2 4 18 24 7 4 93 77
"ENSRNOG00000000007" 4 1 3 1 5 4 9 4
"ENSRNOG00000000008" 0 1 4 2 0 5 2 6
"ENSRNOG00000000010" 19 10 19 13 50 57 45 58
"ENSRNOG00000000012" 7 5 1 0 31 26 12 9
"ENSRNOG00000000014" 0 0 2 1 0 0 0 0
"ENSRNOG00000000017" 4 1 12 18 21 19 127 98
"ENSRNOG00000000021" 7 5 2 1 30 32 75 42
"ENSRNOG00000000024" 86 53 86 78 257 254 434 454
"ENSRNOG00000000028" 22 21 58 49 85 89 262 247
"ENSRNOG00000000029" 276 224 209 280 903 978 1061 1056
"ENSRNOG00000000033" 298 282 327 297 1228 1258 1853 1928
"ENSRNOG00000000034" 30 34 57 63 129 105 274 226
"ENSRNOG00000000036" 89 53 66 52 191 240 265 194
"ENSRNOG00000000040" 26 25 60 88 88 33 260 214
"ENSRNOG00000000041" 30 22 26 28 132 96 143 149
"ENSRNOG00000000042" 227 212 229 258 748 716 1201 1136
"ENSRNOG00000000043" 185 158 265 354 524 577 1007 918
"ENSRNOG00000000044" 93 81 53 75 346 351 259 303
"ENSRNOG00000000045" 0 0 0 0 1 0 1 0
"ENSRNOG00000000047" 915 683 1140 1210 3030 3192 5614 5271
"ENSRNOG00000000048" 738 575 480 490 2398 2334 2398 2552
"ENSRNOG00000000050" 0 0 0 0 0 0 1 0
"ENSRNOG00000000053" 1 2 4 6 9 3 15 7
"ENSRNOG00000000054" 803 617 283 344 3170 3118 2368 2578
"ENSRNOG00000000055" 0 0 0 0 0 0 1 0
"ENSRNOG00000000060" 3398 2740 2078 1776 13572 13588 11954 13926
"ENSRNOG00000000062" 38 30 31 34 139 146 196 188
"ENSRNOG00000000064" 351 352 373 291 1070 1228 1856 1528
"ENSRNOG00000000065" 15 18 142 133 55 50 629 776
"ENSRNOG00000000066" 303 279 185 219 1073 1083 1018 1027
"ENSRNOG00000000068" 41 36 71 81 150 116 441 311
"ENSRNOG00000000070" 228 234 334 312 677 723 1478 1145
"ENSRNOG00000000073" 70 52 45 62 236 206 320 338
"ENSRNOG00000000075" 39 40 69 44 125 138 204 196
"ENSRNOG00000000081" 85 68 151 176 305 233 701 710
"ENSRNOG00000000082" 146 130 169 191 330 322 665 463
"ENSRNOG00000000091" 235 164 49 37 845 828 238 337
"ENSRNOG00000000095" 436 382 239 240 1283 1421 1153 1361
"ENSRNOG00000000096" 164 139 80 97 472 553 437 514
"ENSRNOG00000000097" 0 1 0 0 0 0 4 0
"ENSRNOG00000000098" 206 168 169 156 572 618 856 868
"ENSRNOG00000000104" 283 221 217 209 889 939 1070 1150
"ENSRNOG00000000105" 227 227 189 160 973 952 814 829
"ENSRNOG00000000108" 175 144 229 312 536 506 1093 987
"ENSRNOG00000000109" 2 1 0 0 2 3 0 2
"ENSRNOG00000000111" 89 81 80 69 314 358 401 451
"ENSRNOG00000000112" 183 163 213 243 675 625 953 907
"ENSRNOG00000000113" 63 49 61 52 202 212 216 212
"ENSRNOG00000000117" 382 351 109 110 1290 1245 585 583
"ENSRNOG00000000119" 0 0 1 0 1 1 2 2
"ENSRNOG00000000120" 56 59 54 45 75 121 180 117
"ENSRNOG00000000121" 48 49 69 83 214 227 338 345
"ENSRNOG00000000122" 23 15 26 25 70 60 156 145
"ENSRNOG00000000123" 272 220 280 324 899 1011 1478 1831
"ENSRNOG00000000124" 8 4 6 6 13 17 22 37
"ENSRNOG00000000127" 192 142 143 133 522 489 598 608
"ENSRNOG00000000129" 1974 1496 412 357 7875 8100 1989 2638
"ENSRNOG00000000130" 99 96 157 211 414 406 796 955
"ENSRNOG00000000133" 251 202 195 212 884 851 1212 1181
"ENSRNOG00000000137" 16 15 41 38 59 73 196 244
"ENSRNOG00000000138" 0 0 6 8 13 9 30 40
"ENSRNOG00000000142" 671 609 848 1116 2546 2266 3535 3511
"ENSRNOG00000000145" 82 66 60 46 239 248 214 229
"ENSRNOG00000000147" 710 589 528 602 2221 2345 2434 2594
"ENSRNOG00000000150" 67 53 95 89 162 172 380 331
"ENSRNOG00000000151" 23 28 62 66 110 86 299 204
"ENSRNOG00000000155" 150 154 153 161 468 477 588 598
